ordre x =     2
ordre t =     2
nx =   300
nt =    21
time     1 =         0.000000
time     2 =         0.020392
time     3 =         0.040396
time     4 =         0.062492
time     5 =         0.081373
time     6 =         0.100281
time     7 =         0.122146
time     8 =         0.141561
time     9 =         0.160771
time    10 =         0.182429
time    11 =         0.201270
time    12 =         0.220350
time    13 =         0.242266
time    14 =         0.261517
time    15 =         0.280364
time    16 =         0.302115
time    17 =         0.321138
time    18 =         0.340497
time    19 =         0.362370
time    20 =         0.381216
time    21 =         0.400000
